text,posicion
#AbortoLegal https://t.co/uKIc4txUI9,si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
"RT @SofiBotto: HOY! Nuestra coordinadora nacional @raquelvivanco expone en la Cámara de Diputadxs a favor de la ley de #AbortoLegal. 
A la…",si
"RT @SofiBotto: HOY! Nuestra coordinadora nacional @raquelvivanco expone en la Cámara de Diputadxs a favor de la ley de #AbortoLegal. 
A la…",si
RT @raquelvivanco: Mañana me toca. #AbortoLegal #AhoraEsCuando 💪🏽💚 https://t.co/TackkRzVb4,si
"RT @Red__Accion: #CABA #HOY Tuitazo y actividades en el Congreso por el Aborto Legal, Seguro y Gratuito https://t.co/RnF00ZuDuJ 
#AbortoLeg…",si
"RT @ingridurrut: #buenlunes #ATR x el #AbortoLegal Basta de juzgarnos, basta de perseguirnos hoy más que nunca redoblemos la presencia en l…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
"#Argentina #AbortoLegal ""Mi hija no podrá debatir"" https://t.co/Gy67Pspbbh Por @gargantapodero @Red__Accion https://t.co/salDiP4BRs",si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
Aborto Legal: ¿despenalizar o legalizar? https://t.co/URKRtxuX2p https://t.co/WRmLDlEk8g #AbortoLegal #ABORTOLEGALYA @Red__Accion,si
"RT @BrendaBrecher: #Aborto 3ra jornada de discusión de las comisiones de Legislación Gral, Salud, Leg.Penal y Familia con expositores invit…",si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"RT @Red__Accion: #CABA #HOY Tuitazo y actividades en el Congreso por el Aborto Legal, Seguro y Gratuito https://t.co/RnF00ZuDuJ 
#AbortoLeg…",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"RT @Red__Accion: #CABA #HOY Tuitazo y actividades en el Congreso por el Aborto Legal, Seguro y Gratuito https://t.co/RnF00ZuDuJ 
#AbortoLeg…",si
"#CABA #HOY Tuitazo y actividades en el Congreso por el Aborto Legal, Seguro y Gratuito https://t.co/RnF00ZuDuJ… https://t.co/0uIVGuZ1UE",si
"RT @Red__Accion: #HOY #BuenosAires #Lanús 11hs ""Pañuelazo por el Derecho al Aborto Legal seguro y Gratuito"" https://t.co/DI7A0JWxIY https:/…",si
"#HOY #BuenosAires #Lanús 11hs ""Pañuelazo por el Derecho al Aborto Legal seguro y Gratuito"" https://t.co/DI7A0JWxIY… https://t.co/FGPtEhsHO4",si
Muchachos y si en el plenario se ocupan de los #CurasPedofilos y cierran su cruces sobre el #AbortoLegal… https://t.co/kdgnmavqg3,si
"#Aborto 3ra jornada de discusión de las comisiones de Legislación Gral, Salud, Leg.Penal y Familia con expositores… https://t.co/iRaR5dmlHk",si
"RT @SofiBotto: HOY! Nuestra coordinadora nacional @raquelvivanco expone en la Cámara de Diputadxs a favor de la ley de #AbortoLegal. 
A la…",si
"RT @ingridurrut: #buenlunes #ATR x el #AbortoLegal Basta de juzgarnos, basta de perseguirnos hoy más que nunca redoblemos la presencia en l…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
HOY! Nuestra coordinadora nacional @raquelvivanco expone en la Cámara de Diputadxs a favor de la ley de… https://t.co/qdXSW9YuVm,si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
"RT @pletrabajadoras: #SantaFe, no te pierdas el debate por el #AbortoLegal junto a referentes de la campaña nacional y especialistas!

Un d…",si
"El viernes pasado se presentó en la Legislatura provincial el libro Aborto y autonomía sexual de las mujeres, de Pa… https://t.co/egU1mf8Lj5",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
"RT @gabi_fierro: @vilma_ripoll Enfermera, q tuvo un cargo y después volvió al hospital.
Lucha x #AbortoLegal porque sabe lo q les pasa a qu…",si
"El debate por #AbortoLegal, resultado directo del #NiUnaMenis, dice @nytimeses https://t.co/XIYAm0DW3J https://t.co/b2TuSNIfGq",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @RedDeMujeres_: Mañana nuestra compañera Sabrina expone en el congreso sobre #AbortoLegal y la experiencia de la campaña #JuntasAbortamo…,si
RT @martinciriook: Esta Mariana anti aborto nos grita HIPAKRETAAAAA! Me encanta que mezclen todo y de repente que Macri suba el TRANSporte…,si
